Transfer Learning Technique,Accuracy,Precision,Recall,F1 Score
DAPT + Domain Fine-Tuning,0.8294360385144429,0.8352099653649734,0.8294360385144429,0.8259501331149602
Few-Shot Fine-Tuning,0.6685006877579092,0.6163751828183972,0.6685006877579092,0.6112864914321963
