model,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,f1_fear,f1_joy,f1_neutral,f1_optimism,f1_sadness
Strategy 1 - Domain Only Fine-Tuning,0.8390646492434664,0.5707760304681311,0.8345028016768354,0.6842938757875111,0.5588968117367429,0.0,0.36363636363636365,0.8836104513064132,0.7817745803357314,0.8248587570621468
Strategy 2 - Sequential Transfer Learning,0.8239339752407153,0.5920100780267143,0.820573196223529,0.6736452532934945,0.5830670755584697,0.0,0.5,0.8650602409638555,0.7607655502392344,0.8342245989304813
Strategy 3 - Mixed Training,0.8473177441540578,0.5981397601687395,0.8417680377631145,0.6928376351219928,0.5709044795963901,0.0,0.5,0.8929384965831435,0.7885117493472585,0.8092485549132948
